term;uuid;concept;type;term_uuid;term_misspelled;version
ordermotagare;484654d5-b741-565c-819c-aceeaebf7568;Ordermottagare;YRKE;bd67bcfc-f4bb-5763-b4dc-25aeb6047432;True;NARVALONTOLOGI-2.0.0.157
ordermottagre;484654d5-b741-565c-819c-aceeaebf7568;Ordermottagare;YRKE;4a39607d-7a0a-583c-b652-d35f21a41bd5;True;NARVALONTOLOGI-2.0.0.157
ordermottagere;484654d5-b741-565c-819c-aceeaebf7568;Ordermottagare;YRKE;7f134e6f-c642-562f-ab66-0f80d50e0901;True;NARVALONTOLOGI-2.0.0.157
odermottagare;484654d5-b741-565c-819c-aceeaebf7568;Ordermottagare;YRKE;dde7f0be-cd8c-5579-940f-7feac42b3add;True;NARVALONTOLOGI-2.0.0.157
ordermottager;484654d5-b741-565c-819c-aceeaebf7568;Ordermottagare;YRKE;782df9f1-f53f-53c6-8965-95d8d3ec0781;True;NARVALONTOLOGI-2.0.0.157
orginalare;5ba13c9a-2d8f-5f03-99c9-be0a38a85cd6;Originalare;YRKE;a21a1d7e-3490-5a13-9035-e7bc955a7670;True;NARVALONTOLOGI-2.0.0.157
ortpedi;d242e25a-acc5-51f8-a8f5-136f0311c4f0;Ortoped;YRKE;73f5683c-d389-5966-aadc-500f9c29bef9;True;NARVALONTOLOGI-2.0.0.157
ortepedi;d242e25a-acc5-51f8-a8f5-136f0311c4f0;Ortoped;YRKE;2a528fe0-0917-5c30-b367-5b463d83b0e8;True;NARVALONTOLOGI-2.0.0.157
ortopist;fba09717-10f5-599f-a151-f5476bc34348;Ortoptist;YRKE;ce08e2a6-e393-5811-ba6d-0af3f0678e0f;True;NARVALONTOLOGI-2.0.0.157
packeterare;f50a0242-71e2-520c-88d2-26ef8c3582eb;Paketerare;YRKE;81420d57-f48d-502c-89a5-454db4254d80;True;NARVALONTOLOGI-2.0.0.157
markenheten;87a9bd72-e923-5e32-b762-afae1481277e;Parkenheten;YRKE;43e4d2b6-90dc-5cb7-906f-0aa932a8a687;True;NARVALONTOLOGI-2.0.0.157
patschef;744b88e8-acbd-5ad5-8e82-1fb96357a58f;Passchef;YRKE;e9aa0502-11ad-5234-9305-069b0e81b4b5;True;NARVALONTOLOGI-2.0.0.157
pedogog;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;bee0434d-dce6-5e45-b71e-c483808d6739;True;NARVALONTOLOGI-2.0.0.157
pedagogoger;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;3cd875af-010e-5d33-9dce-9e529351a7e7;True;NARVALONTOLOGI-2.0.0.157
pedager;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;3ab6ec08-1687-5799-9f28-c42a43a8d1ce;True;NARVALONTOLOGI-2.0.0.157
pedgoger;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;3b0e5f24-2da4-5b2b-bc8e-7e77a544507f;True;NARVALONTOLOGI-2.0.0.157
