term;uuid;concept;type;term_uuid;term_misspelled;version
driv;aec3ed69-4a38-539e-9121-e3f3f79caf6e;Driven;FORMAGA;8358f5e1-c5f5-5959-8c78-e7f96d35b8b1;False;NARVALONTOLOGI-2.0.0.157
driven;aec3ed69-4a38-539e-9121-e3f3f79caf6e;Driven;FORMAGA;c2eddbf1-17d2-57e5-a702-84e5e1a1a6df;False;NARVALONTOLOGI-2.0.0.157
drivkraft;aec3ed69-4a38-539e-9121-e3f3f79caf6e;Driven;FORMAGA;1747f33c-b2e1-5e07-bd42-a114b8a3063a;False;NARVALONTOLOGI-2.0.0.157
drivkraftig;aec3ed69-4a38-539e-9121-e3f3f79caf6e;Driven;FORMAGA;d0ce4e0b-00db-5b59-be1c-3925226c9e18;False;NARVALONTOLOGI-2.0.0.157
drivande;b8c0e720-1d08-5bcc-974d-b07a3043d21c;Drivande;FORMAGA;6e2a370b-24fc-57db-99e1-45e26144624f;False;NARVALONTOLOGI-2.0.0.157
dynamisk;03f0c321-243b-5b36-b631-a203be96f074;Dynamisk;FORMAGA;3517d92c-2595-5224-9953-e7abbb027e00;False;NARVALONTOLOGI-2.0.0.157
easy going;59cb4260-dd17-5728-b996-b91e3c1d2711;Easy going;FORMAGA;23541e0e-d65e-5ff8-97d2-561f12c544d7;False;NARVALONTOLOGI-2.0.0.157
effektiv;aca339d2-44ae-5c05-8d57-0287995a7274;Effektiv;FORMAGA;695419ee-1cf9-56fa-889a-bfbbe6a12254;False;NARVALONTOLOGI-2.0.0.157
effektivitetssökande;aca339d2-44ae-5c05-8d57-0287995a7274;Effektiv;FORMAGA;7cdf31cc-ed74-5834-ba7f-eb77b90fdb60;False;NARVALONTOLOGI-2.0.0.157
eftertänksam;6c33e5e8-9719-5106-a09c-63552b6741b9;Eftertänksam;FORMAGA;82777088-cfea-561b-898f-ac618aa50372;False;NARVALONTOLOGI-2.0.0.157
egengående;75ce8cb8-6a5d-51e5-87e9-00aee2cffa54;Egengående;FORMAGA;024f8660-fcb1-5bf0-9def-8a8acc75a991;False;NARVALONTOLOGI-2.0.0.157
ekonomiskt sinnad;7c429dd2-55e5-5a97-a664-53ee5244051d;Ekonomiskt sinnad;FORMAGA;4ee4f538-f8bb-5e9a-84d4-6713c792572e;False;NARVALONTOLOGI-2.0.0.157
eldsjäl;b1e110d4-951a-5881-ad2f-98433c96d97c;Eldsjäl;FORMAGA;5f0d91c3-b098-5ac5-86ff-07e0c76c4326;False;NARVALONTOLOGI-2.0.0.157
empatisk;2dfc13d4-f30e-5def-9301-ff65367da10a;Empatisk;FORMAGA;e87994ea-5fda-5a9c-92a5-4c04293898a7;False;NARVALONTOLOGI-2.0.0.157
energirik;b79c2bb8-f39f-5d54-a36d-1d5f9b300a31;Energirik;FORMAGA;a80b3b45-de39-5da8-8413-66bc83295dd7;False;NARVALONTOLOGI-2.0.0.157
energisk;fef5f569-c7e2-5fe2-9e35-c1d3f33d3899;Energisk;FORMAGA;b4302b06-e507-5676-9169-8cfe60889319;False;NARVALONTOLOGI-2.0.0.157
energispridande;1132769a-f81d-56a3-8aa2-e2f36e5115bd;Energispridare;FORMAGA;12abbbed-54c1-5ebb-9f2e-d19cb0190c82;False;NARVALONTOLOGI-2.0.0.157
energispridare;1132769a-f81d-56a3-8aa2-e2f36e5115bd;Energispridare;FORMAGA;a7fb1636-e95d-5d64-b13c-a280d2a76fc5;False;NARVALONTOLOGI-2.0.0.157
engagerad;786f3a94-eb0e-574c-9e91-f42662359acb;Engagerad;FORMAGA;d58154fd-6da4-5a95-99e0-1e5dd3d1fbbd;False;NARVALONTOLOGI-2.0.0.157
entreprenöriell;a9478378-4ac3-5c97-8abf-e11e4cd42f46;Entreprenöriell;FORMAGA;2876c20d-c49e-5470-9b7f-4c2a169e3cf7;False;NARVALONTOLOGI-2.0.0.157
sann entreprenör;a9478378-4ac3-5c97-8abf-e11e4cd42f46;Entreprenöriell;FORMAGA;aea7e291-2e67-5c87-8719-b3eb78644b0b;False;NARVALONTOLOGI-2.0.0.157
entreprenöriell ådra;a3cacc88-cf05-515e-9a1d-52625c6fb7b1;Entreprenöriell ådra;FORMAGA;b9411c15-f31d-5c2b-8da5-7199fd21f4c8;False;NARVALONTOLOGI-2.0.0.157
entreprenörisk;20c76727-ba15-5875-b8dd-3d1afa47c5aa;Entreprenörisk;FORMAGA;c0dcd791-19c5-540a-b9a2-ea6bfb19d5bd;False;NARVALONTOLOGI-2.0.0.157
entreprenörsanda;ccd1a53a-79bc-54bf-a284-af2a69b4d00c;Entreprenörsanda;FORMAGA;f13b1739-ea98-5a2c-b3f4-1ee4195fa977;False;NARVALONTOLOGI-2.0.0.157
entreprenörsdriven;a7e933f8-f423-5f23-bcc0-ff7601e6af50;Entreprenörsdriven;FORMAGA;082e5d39-438a-560b-9f61-5120b5be8830;False;NARVALONTOLOGI-2.0.0.157
entreprenörsinriktad;a7e933f8-f423-5f23-bcc0-ff7601e6af50;Entreprenörsdriven;FORMAGA;03c8467c-5ca1-516c-8ff6-1e5555b4ea6c;False;NARVALONTOLOGI-2.0.0.157
entreprenörsmässig;a7e933f8-f423-5f23-bcc0-ff7601e6af50;Entreprenörsdriven;FORMAGA;8c9a0877-3a21-5fcd-92e7-cf5d6a00775c;False;NARVALONTOLOGI-2.0.0.157
entreprenörsinne;aaee589c-f2a2-5f4e-afb3-8b732f179e94;Entreprenörskänsla;FORMAGA;78816cc5-d6a0-5f67-b4a0-5189dfbeb7c1;False;NARVALONTOLOGI-2.0.0.157
entreprenörskänsla;aaee589c-f2a2-5f4e-afb3-8b732f179e94;Entreprenörskänsla;FORMAGA;f3dbe11d-147d-5adf-80ad-c0fe2e3bc608;False;NARVALONTOLOGI-2.0.0.157
entreprenörspräglad;c5298cc5-bfb9-52ce-b831-184a0e4f80d8;Entreprenörspräglad;FORMAGA;d3a82e3b-7e5a-5471-bb4d-ad17737ec7be;False;NARVALONTOLOGI-2.0.0.157
entreprenörsstyrd;aadb62ea-27c8-568c-a000-f15e4c96caab;Entreprenörsstyrd;FORMAGA;4f6ce9e7-60dc-5f88-996a-98021a22a614;False;NARVALONTOLOGI-2.0.0.157
